#
#"Theta / deg"	"Farfield (PAA_FA_FREQ) [Array Scanning1] [dBi]"
#--------------------------------------------------------------
25.000000000000	-0.63333498497643
26.000000000000	5.1939689237257
27.000000000000	6.6817816967505
28.000000000000	4.8399163421808
29.000000000000	-4.0112398925458
30.000000000000	0.053502948087086
31.000000000000	9.0122330491012
32.000000000000	13.007699507920
33.000000000000	14.957315164741
34.000000000000	15.433306844326
35.000000000000	14.390105864500
36.000000000000	11.002973805795
37.000000000000	-0.60159998158564
38.000000000000	7.6155083478869
39.000000000000	15.766041630690
40.000000000000	19.955662588926
41.000000000000	22.596341963071
42.000000000000	24.322356426002
43.000000000000	25.397350401503
44.000000000000	25.954377269133
45.000000000000	26.065916365679
46.000000000000	25.769833155531
47.000000000000	25.079384078388
48.000000000000	23.985078339550
49.000000000000	22.450116721918
50.000000000000	20.395418284329
51.000000000000	17.661557408625
52.000000000000	13.900011705901
53.000000000000	8.1789905858083
54.000000000000	-1.9150687163098
55.000000000000	3.3475046315942
56.000000000000	8.4184229208917
57.000000000000	10.763074376185
58.000000000000	11.848315346846
59.000000000000	12.168505490608
60.000000000000	11.936646011721
61.000000000000	11.256145679198
62.000000000000	10.173880778259
63.000000000000	8.7011807503029
64.000000000000	6.8195163417738
65.000000000000	4.4814370502344
66.000000000000	1.6223451103867
67.000000000000	-1.7308105869204
68.000000000000	-4.8713661259863
69.000000000000	-5.7206581513589
70.000000000000	-4.3619408660877
71.000000000000	-2.8297612050631
72.000000000000	-1.7542666902552
73.000000000000	-1.1291732321192
74.000000000000	-0.86407435961105
75.000000000000	-0.88102900651116
76.000000000000	-1.1237566513437
77.000000000000	-1.5417512208601
78.000000000000	-2.1018624722305
79.000000000000	-2.7718669376517
80.000000000000	-3.5206735466576
81.000000000000	-4.3158157573380
82.000000000000	-5.1218095061918
83.000000000000	-5.8999336322135
84.000000000000	-6.6102428183881
85.000000000000	-7.2162395573376
86.000000000000	-7.6912449158229
87.000000000000	-8.0237422778131
88.000000000000	-8.2186593861772
89.000000000000	-8.2937656632632
90.000000000000	-8.2733460654791
91.000000000000	-8.1822738715775
92.000000000000	-8.0424436272332
93.000000000000	-7.8715484812762
94.000000000000	-7.6834339458182
95.000000000000	-7.4891005938701
96.000000000000	-7.2977576819951
97.000000000000	-7.1176264269637
98.000000000000	-6.9563788328834
99.000000000000	-6.8211782388877
100.00000000000	-6.7182930763116
101.00000000000	-6.6522108574410
102.00000000000	-6.6241070621772
103.00000000000	-6.6294674910359
104.00000000000	-6.6547456325003
105.00000000000	-6.6697808995889
106.00000000000	-6.6381342651492
107.00000000000	-6.5020654647527
108.00000000000	-6.2066419866243
109.00000000000	-5.7200175438802
110.00000000000	-5.0527995555806
111.00000000000	-4.2576496293070
112.00000000000	-3.4097692607169
113.00000000000	-2.5850230904112
114.00000000000	-1.8470518405907
115.00000000000	-1.2503707945896
116.00000000000	-0.83889424763413
117.00000000000	-0.65571222267646
118.00000000000	-0.74891493453307
119.00000000000	-1.1785434267518
120.00000000000	-2.0216360052404
121.00000000000	-3.3575826452074
122.00000000000	-5.1286458085757
123.00000000000	-6.4610564146755
124.00000000000	-5.3513705103994
125.00000000000	-2.3832719727186
126.00000000000	0.57614745101393
127.00000000000	3.0344849012669
128.00000000000	5.0075130493611
129.00000000000	6.5732982447051
130.00000000000	7.7955863113241
131.00000000000	8.7186038227620
132.00000000000	9.3709871755241
133.00000000000	9.7694692747774
134.00000000000	9.9206814053686
135.00000000000	9.8219172406858
136.00000000000	9.4600176651489
137.00000000000	8.8099524654137
138.00000000000	7.8303883612350
139.00000000000	6.4560410891479
140.00000000000	4.5822719858516
141.00000000000	2.0293525266766
142.00000000000	-1.5479552665619
